run_id,algorithm,stochasticity,discount_factor,learning_rate,epsilon,episode_length_mc,grid_name,reward_function,cumulative_reward,step,episode,conv_metricV,conv_metricQ
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10314212462587934,0.9564649558135419,500,grid_configs/A1_grid.npy,Default,-1184,33980,88,30.674713,47.41783
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10050378152592121,0.9559867233356352,500,grid_configs/A1_grid.npy,Default,-1080,34480,89,33.961884,43.460876
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.09090909090909091,0.9555087299739674,500,grid_configs/A1_grid.npy,Default,-1496,34980,90,55.42079,79.1935
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10050378152592121,0.9550309756089804,500,grid_configs/A1_grid.npy,Default,-1096,35480,91,37.970154,40.333023
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1414213562373095,0.954553460121176,500,grid_configs/A1_grid.npy,Default,-1036,35979,92,49.70123,80.60825
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1796053020267749,0.9540761833911156,500,grid_configs/A1_grid.npy,Default,-26,35992,93,35.072834,42.171406
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10206207261596577,0.95359914529942,500,grid_configs/A1_grid.npy,Default,-1008,36492,94,50.499214,50.499214
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1543033499620919,0.9531223457267703,500,grid_configs/A1_grid.npy,Default,-1080,36992,95,57.194466,91.20064
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10206207261596577,0.952645784553907,500,grid_configs/A1_grid.npy,Default,-924,37492,96,46.94336,46.94336
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.09759000729485333,0.9521694616616301,500,grid_configs/A1_grid.npy,Default,-972,37992,97,41.84427,41.84427
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1203858530857692,0.9516933769307994,500,grid_configs/A1_grid.npy,Default,-548,38267,98,46.272636,51.206123
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10206207261596577,0.951217530242334,500,grid_configs/A1_grid.npy,Default,-1067,38749,99,44.401176,47.07785
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.16012815380508713,0.9507419214772129,500,grid_configs/A1_grid.npy,Default,-192,38832,100,19.289917,49.406372
